Timestamp,X,Y,Z,Objtemp,AmbientTemp
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:52,-0.1,-1,0.1,0,0
2015:12:01:19:43:53,-0.1,-1,0.1,20.3,23.1
2015:12:01:19:43:53,-0.1,-1,0.1,20.3,23.1
2015:12:01:19:43:53,-0.1,-1,0.1,20.3,23.1
2015:12:01:19:43:53,-0.1,-1,0.1,20.3,23.1
2015:12:01:19:43:53,-0.1,-1,0.1,20.3,23.1
2015:12:01:19:43:53,-0.1,-1,0.1,20.3,23.1
2015:12:01:19:43:53,-0.1,-1,0.1,20.3,23.1
2015:12:01:19:43:53,-0.1,-1,0.1,20.3,23.1
2015:12:01:19:43:54,-0.1,-1,0.1,20.4,23.1
2015:12:01:19:43:54,-0.1,-1,0.1,20.4,23.1
2015:12:01:19:43:54,-0.1,-1,0.1,20.4,23.1
2015:12:01:19:43:54,-0.1,-1,0.1,20.4,23.1
2015:12:01:19:43:54,-0.1,-1,0.1,20.4,23.1
2015:12:01:19:43:54,-0.1,-1,0.1,20.4,23.1
2015:12:01:19:43:54,-0.1,-1,0.1,20.4,23.1
2015:12:01:19:43:54,-0.1,-1,0.1,20.4,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,20.8,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,20.8,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,20.8,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,20.8,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,20.8,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,20.8,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,20.8,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,20.8,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,21.2,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,21.2,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,21.2,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,21.2,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,21.2,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,21.2,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,21.2,23.1
2015:12:01:19:43:56,-0.1,-1,0.1,21.2,23.1
2015:12:01:19:43:57,-0.1,-1,1,21.8,23.1
2015:12:01:19:43:57,-0.1,-1,1,21.8,23.1
2015:12:01:19:43:57,-0.1,-1,1,21.8,23.1
2015:12:01:19:43:57,-0.1,-1,1,21.8,23.1
